文章,年份,期刊,影响因子,数据种类,数据量,用到的方法,doi,文件,参考资料,,,,,,,,,,,
USFM: A universal ultrasound foundation model generalized to tasks and organs towards label efficient image analysis,2024,Medical Image Analysis,11.8,12个器官的超声图像,200万,Masked Image Modeling 掩码图像建模,https://doi.org/10.1016/j.media.2024.103202,USFM_ A universal ultrasound foundation...pdf,https://zhuanlan.zhihu.com/p/675777374,,,,,,,,,,,
URFM: A general Ultrasound Representation Foundation Model for advancing ultrasound image diagnosis,2025,iScience,4.1,15个器官的超声图像,100万,Masked Image Modeling 掩码图像建模,https://doi.org/10.1016/j.isci.2025.112917,URFM.pdf,,,,,,,,,,,,
A Fully Open and Generalizable Foundation Model for Ultrasound Clinical Applications,2025,arxiv,NaN,56种解剖结构,453万,自监督掩码自编码器MAE,https://doi.org/10.48550/arXiv.2509.11752,EchoCare.pdf,https://zhuanlan.zhihu.com/p/1951691521624604700,,,,,,,,,,,
From pretraining to privacy: federated ultrasound foundation model with self-supervised learning,2025,npj Digital Medicine,15.1,19个器官和10种超声模态,100万,联邦学习，自监督掩码自编码器MAE,https://doi.org/10.1038/s41746-025-02085-0,UltraFedFM.pdf,https://sse.cuhk.edu.cn/article/2178,,,,,,,,,,,
OpenUS: A Fully Open-Source Foundation Model for Ultrasound Image Analysis via Self-Adaptive Masked Contrastive Learning,2025,arxiv,NaN,12个器官的超声图像,31万,对比学习，MIM,https://doi.org/10.48550/arXiv.2511.11510,OpenUS.pdf,,,,,,,,,,,,
USF-MAE: Ultrasound Self-Supervised Foundation Model with Masked Autoencoding,2025,arxiv,NaN,20种解剖结构,37万,自监督掩码自编码器MAE,https://doi.org/10.48550/arXiv.2510.22990,,,,,,,,,,,,,
UltraSAM: A foundational medical ultrasound segmentation model with limited training data,2025,Expert Systems with Applications,15,6种解剖结构,16820,基于SAM的核心框架修改编码器，是基于预训练模型（SAM）的有监督微调模型，780个含标注的图像用于微调，261/262个含标注的图像用于验证/测试，其余图像用作外部测试集来测试泛化能力,https://doi.org/10.1016/j.eswa.2025.130223,UltraSAM.pdf,,,,,,,,,,,,
Multi-Organ Foundation Model for Universal Ultrasound Image Segmentation With Task Prompt and Anatomical Prior,2025,IEEE TRANSACTIONS ON MEDICAL IMAGING,9.8,10个器官的超声图像,7039,"Transformer编码器+CNN解码器+10器官初始文本提示词嵌入
属于有监督学习，细分任务（分割）下的Foundation Model",https://doi.org/10.1109/TMI.2024.3472672,MOFO.pdf,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
